MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedianHousingValue
1.975,52.0,2.8,0.7,193.0,4.825,36.73,-119.79,0.475
2.2604,43.0,3.6714801444043323,1.184115523465704,836.0,3.0180505415162453,37.77,-122.21,1.0
6.299,17.0,6.478021978021978,1.0879120879120878,1387.0,3.8104395604395602,33.87,-118.04,2.858
1.7199,17.0,2.518,1.196,3051.0,3.051,34.06,-118.28,1.75
2.2206,50.0,4.622754491017964,1.1616766467065869,606.0,3.62874251497006,36.73,-119.81,0.592
6.67,11.0,6.4950678175092476,0.998766954377312,4409.0,2.718249075215783,33.8,-117.79,2.832
8.847,14.0,8.093959731543624,0.9530201342281879,572.0,3.838926174496644,33.81,-117.8,3.887
5.2586,17.0,6.945035460992908,1.1312056737588652,1809.0,3.2074468085106385,38.69,-121.26,1.37
13.0502,6.0,9.413793103448276,1.0804597701149425,572.0,3.2873563218390807,33.48,-117.65,5.00001
6.0666,10.0,6.526518391787853,0.9730538922155688,7266.0,3.1077844311377247,37.97,-122.27,2.724
3.6294,18.0,3.4987951807228916,1.0714859437751003,1968.0,1.580722891566265,37.28,-121.94,2.4
5.0821,4.0,4.014634146341463,0.9951219512195122,853.0,2.080487804878049,37.44,-121.9,2.655
3.5089,31.0,4.458885941644563,1.0596816976127321,1939.0,2.5716180371352784,34.05,-118.15,3.058
4.2985,12.0,5.720577617328519,1.0613718411552346,4861.0,3.5097472924187727,33.96,-117.5,1.392
2.4342,27.0,4.477642276422764,1.0020325203252032,1158.0,2.3536585365853657,38.64,-121.33,1.195
2.0109,15.0,7.124542124542124,1.9633699633699633,515.0,1.8864468864468864,33.4,-115.99,0.543
2.0114,20.0,3.6439716312056736,1.0453900709219859,2341.0,3.3205673758865246,32.68,-117.09,1.049
1.2532,12.0,3.456445993031359,1.0696864111498259,1071.0,1.8658536585365855,34.7,-118.14,1.021
2.0472,16.0,5.931558935361217,1.2186311787072244,1319.0,2.5076045627376424,38.2,-120.9,0.932
5.0371,25.0,6.385656292286874,1.0081190798376185,1857.0,2.512855209742896,38.5,-121.51,1.802
1.8438,32.0,5.139817629179332,1.0729483282674772,1457.0,4.428571428571429,34.14,-117.32,0.666
0.7069,29.0,3.0934579439252334,0.794392523364486,341.0,3.1869158878504673,34.13,-117.34,0.703
3.6788,5.0,5.04269801980198,1.1837871287128714,2933.0,1.8149752475247525,38.61,-121.53,1.788
2.5521,38.0,2.859848484848485,1.0113636363636365,2899.0,3.6603535353535355,34.08,-118.27,1.575
4.825,11.0,6.4113924050632916,1.1898734177215189,410.0,2.5949367088607596,38.77,-120.84,1.846
1.4038,12.0,3.8353909465020575,1.0041152263374487,1043.0,4.292181069958848,36.76,-120.38,0.543
2.6339,41.0,3.7753303964757707,0.8854625550660793,934.0,4.11453744493392,33.93,-118.2,1.457
2.89,43.0,5.221238938053097,1.0420353982300885,1041.0,2.3030973451327434,38.57,-121.52,0.862
4.7083,15.0,7.918057663125948,1.078907435508346,1949.0,2.9575113808801214,38.68,-121.09,2.133
4.125,6.0,7.214285714285714,1.0357142857142858,75.0,2.6785714285714284,33.82,-117.54,2.167
5.143,9.0,6.139896373056994,1.0984455958549222,1129.0,2.9248704663212437,37.98,-121.33,1.765
1.625,33.0,4.491071428571429,1.0476190476190477,1734.0,5.160714285714286,36.53,-119.29,0.503
3.8571,24.0,5.08254397834912,0.9215155615696887,1586.0,2.1461434370771313,36.8,-119.83,0.901
2.6981,25.0,3.9463307776560788,1.0985761226725081,2719.0,2.978094194961665,34.09,-118.12,2.08
5.3074,42.0,5.359504132231405,1.0165289256198347,611.0,2.524793388429752,33.67,-118.31,4.019
2.7679,50.0,5.025821596244131,1.0586854460093897,1777.0,4.171361502347418,34.11,-118.24,1.788
2.9054,44.0,5.206185567010309,1.0120274914089347,1373.0,2.359106529209622,38.31,-122.27,1.552
4.6369,43.0,4.413394919168591,1.0138568129330254,930.0,2.147806004618938,33.77,-117.62,1.864
4.0208,52.0,5.395833333333333,1.0277777777777777,362.0,2.513888888888889,37.28,-121.95,2.625
3.2083,21.0,4.1502732240437155,1.0601092896174864,1203.0,3.2868852459016393,33.87,-117.88,1.453
6.0653,18.0,6.556732223903177,0.9697428139183056,1777.0,2.6883509833585477,35.63,-117.68,1.053
3.6053,35.0,4.510135135135135,1.0,635.0,2.14527027027027,37.3,-121.92,3.458
3.4773,29.0,5.473815461346633,1.032418952618454,1360.0,3.3915211970074814,34.21,-118.85,2.067
8.2883,34.0,6.618834080717488,0.9730941704035875,613.0,2.7488789237668163,37.37,-122.21,5.00001
4.1364,31.0,5.414932680538556,1.0208078335373316,1915.0,2.343941248470012,37.6,-122.41,4.12
5.4872,7.0,6.774685222001326,0.9880715705765407,5205.0,3.4493041749502984,33.91,-117.59,2.034
4.3621,13.0,4.752830188679245,1.0962264150943397,2094.0,3.950943396226415,37.32,-121.86,1.734
2.8352,38.0,6.385964912280702,1.619047619047619,755.0,1.8922305764411027,33.65,-118.02,4.083
4.0234,52.0,4.9605263157894735,0.9144736842105263,1138.0,3.7434210526315788,37.71,-122.43,2.665
2.4071,33.0,4.374712643678161,1.07816091954023,1882.0,4.326436781609195,33.97,-118.15,1.705
2.944,52.0,4.1239092495637,1.0541012216404886,1558.0,2.719022687609075,37.88,-122.26,3.389
4.1837,22.0,5.670781893004115,1.0617283950617284,1849.0,3.8045267489711936,32.7,-117.02,1.254
1.65,41.0,3.8817480719794344,1.0539845758354756,1408.0,3.619537275064267,33.94,-118.26,0.942
3.7222,49.0,5.846689895470384,0.9651567944250871,737.0,2.56794425087108,34.19,-118.14,2.37
2.2339,5.0,4.291297935103245,1.1113569321533923,3237.0,2.3871681415929205,38.67,-121.36,1.166
4.277,11.0,6.055421686746988,0.983132530120482,1360.0,3.2771084337349397,36.94,-119.9,0.985
4.2647,26.0,5.943462897526501,1.0070671378091873,1806.0,3.1908127208480566,38.0,-121.85,1.334
1.5479,31.0,4.14785373608903,1.0254372019077902,1796.0,2.8553259141494434,37.06,-120.85,0.82
1.5625,25.0,5.60655737704918,1.2076502732240437,789.0,4.311475409836065,36.71,-119.81,0.528
1.9495,26.0,3.2094763092269325,1.0062344139650872,3163.0,3.9438902743142146,34.08,-118.21,1.732
2.6842,11.0,5.746730083234245,1.1224732461355529,2336.0,2.7776456599286563,39.13,-121.65,0.891
3.4047,26.0,4.481052631578947,1.085263157894737,1861.0,1.9589473684210525,34.44,-119.74,2.945
4.4107,22.0,4.1257861635220126,1.1735849056603773,1842.0,2.3169811320754716,37.39,-122.03,2.327
6.1815,25.0,6.519114688128773,0.9678068410462777,1462.0,2.941649899396378,33.48,-117.69,2.885
6.8753,26.0,6.987288135593221,0.9745762711864406,1241.0,2.6292372881355934,37.36,-122.04,4.03
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611
3.66,34.0,4.670588235294118,1.0588235294117647,1080.0,3.176470588235294,34.22,-118.43,1.846
0.9234,40.0,2.7365853658536587,1.3853658536585365,662.0,3.229268292682927,34.02,-118.27,1.875
6.0102,12.0,5.219765929778934,1.1287386215864759,1605.0,2.0871261378413526,33.71,-118.04,3.969
5.3077,18.0,6.065767284991568,1.1197301854974704,1321.0,2.2276559865092747,37.29,-121.91,3.514
1.319,16.0,6.404907975460123,1.6411042944785277,816.0,2.503067484662577,40.22,-124.0,0.707
6.1395,3.0,5.72522159548751,1.1756647864625303,3068.0,2.4721998388396456,33.68,-117.82,3.58
2.6923,41.0,5.116071428571429,1.1071428571428572,844.0,2.511904761904762,40.88,-123.98,0.842
8.2069,17.0,7.203571428571428,1.0910714285714285,1158.0,2.067857142857143,37.26,-121.99,4.425
3.0911,27.0,5.5285087719298245,1.0614035087719298,1307.0,2.866228070175439,37.36,-120.6,0.869
3.2708,43.0,5.330409356725146,1.0467836257309941,1065.0,3.1140350877192984,33.95,-118.31,1.31
3.875,33.0,4.509090909090909,1.084090909090909,1764.0,4.009090909090909,33.8,-118.22,1.651
4.45,15.0,5.047218628719276,1.036869340232859,2957.0,1.9126778783958602,37.93,-122.05,1.849
2.3463,16.0,4.196805111821086,1.0242811501597444,6012.0,3.8415335463258784,36.68,-121.64,1.561
1.6645,35.0,4.144230769230769,1.0865384615384615,1494.0,4.788461538461538,34.05,-117.75,0.933
2.066,9.0,4.291390728476821,1.0772626931567328,1992.0,4.397350993377484,33.21,-117.25,1.272
4.325,52.0,5.569131832797428,0.9807073954983923,875.0,2.8135048231511255,34.17,-118.29,2.926
4.221,11.0,6.640410958904109,1.0022831050228311,2538.0,2.8972602739726026,38.36,-122.7,2.271
1.4034,52.0,3.5671641791044775,1.1011608623548923,1146.0,1.900497512437811,38.58,-121.49,0.903
5.3972,30.0,6.416666666666667,1.0095238095238095,1098.0,2.6142857142857143,36.97,-122.04,3.623
4.9083,52.0,6.749253731343283,0.9791044776119403,819.0,2.444776119402985,37.9,-122.28,3.468
4.5625,42.0,6.962962962962963,1.1851851851851851,220.0,2.7160493827160495,34.17,-118.85,3.188
5.7072,21.0,6.284875183553598,0.9882525697503671,2216.0,3.2540381791483113,37.53,-122.02,2.422
1.6563,31.0,3.814946619217082,0.9928825622775801,781.0,2.7793594306049823,38.61,-121.47,0.658
5.133,17.0,6.334500875656743,1.0455341506129596,1176.0,2.0595446584938704,33.51,-117.72,3.24
5.0198,9.0,6.696378830083566,1.0863509749303621,1074.0,2.9916434540389973,34.35,-117.31,1.519
2.6713,35.0,5.770588235294118,1.0862745098039215,1460.0,2.8627450980392157,38.69,-121.38,0.844
4.5481,6.0,4.7254901960784315,1.0723039215686274,1547.0,1.8958333333333333,32.77,-117.17,1.648
4.5903,13.0,6.759358288770054,1.0802139037433156,552.0,2.9518716577540105,35.39,-119.12,0.943
3.7303,31.0,4.840175953079179,1.0439882697947214,1532.0,2.2463343108504397,33.84,-117.88,2.238
4.3523,5.0,6.425531914893617,1.0212765957446808,376.0,2.6666666666666665,39.25,-121.2,1.882
3.0352,41.0,5.400900900900901,1.009009009009009,1143.0,2.574324324324324,37.97,-121.26,0.698
4.9716,16.0,14.851851851851851,2.651851851851852,1749.0,3.238888888888889,34.26,-117.22,1.625
6.7606,15.0,6.426356589147287,0.9870801033591732,2222.0,2.8708010335917313,37.51,-122.47,3.643
3.1523,14.0,5.226685796269727,1.0129124820659972,2070.0,2.96987087517934,37.53,-120.84,1.418
5.3016,33.0,6.123393316195373,1.038560411311054,1339.0,3.442159383033419,33.94,-118.02,1.922
6.0532,12.0,5.97153024911032,0.8576512455516014,765.0,2.7224199288256226,35.6,-117.68,1.028
5.7654,35.0,5.755474452554744,1.0182481751824817,743.0,2.7116788321167884,33.84,-118.36,3.43
2.1139,40.0,4.34319526627219,1.0828402366863905,2024.0,2.9940828402366866,34.07,-117.31,0.709
1.7778,52.0,4.450704225352113,0.9753521126760564,591.0,2.0809859154929575,40.79,-124.16,0.769
4.5313,25.0,6.795031055900621,1.1718426501035197,1244.0,2.5755693581780537,38.27,-122.42,3.084
7.8496,39.0,6.528888888888889,1.0044444444444445,553.0,2.457777777777778,33.63,-117.92,4.908
2.2478,31.0,5.123809523809523,1.1,1259.0,2.9976190476190476,40.8,-124.13,0.811
3.6923,18.0,3.652037617554859,1.0438871473354232,855.0,2.6802507836990594,37.59,-122.02,2.132
1.3187,23.0,4.717451523545706,1.0997229916897506,1333.0,3.6925207756232687,34.02,-118.31,1.271
2.0833,20.0,4.311258278145695,1.0397350993377483,421.0,2.7880794701986753,37.77,-120.85,0.773
6.1089,38.0,6.8,1.056140350877193,823.0,2.887719298245614,38.31,-122.24,2.808
4.8862,26.0,4.425396825396826,0.7555555555555555,990.0,3.142857142857143,37.26,-121.8,1.95
3.3555,52.0,3.9615384615384617,1.1117216117216118,1447.0,2.65018315018315,37.75,-122.42,2.75
0.7473,22.0,3.116650987770461,1.1618062088428975,2381.0,2.239887111947319,34.03,-118.29,1.688
